YEAR,MONTH,PROV_ID,PROV_N,MinRain,MaxRain,AvgRain
2018,2,56,พะเยา,2.200000048,18.54999924,10.5
2018,2,57,เชียงราย,3.789999962,20.5,10.92
2018,2,58,แม่ฮ่องสอน,0,6.980000019,1
2018,2,60,นครสวรรค์,24.45000076,165.8899994,57.28
2018,2,61,อุทัยธานี,13.85000038,39.54000092,27.75
2018,2,62,กำแพงเพชร,19.72999954,43.90000153,33.04
2018,2,63,ตาก,1.600000024,26.09000015,15.71
2018,2,64,สุโขทัย,12.47999954,43.86000061,24.96
2018,2,65,พิษณุโลก,20.67000008,39.20000076,30.79
2018,2,66,พิจิตร,26,53.00999832,35.19
2018,2,67,เพชรบูรณ์,14.81000042,60.31000137,32.09
2018,2,70,ราชบุรี,8.699999809,29.07999992,14.39
2018,2,71,กาญจนบุรี,5.800000191,20.70999908,12.11
2018,2,72,สุพรรณบุรี,5.309999943,48.52000046,19.12
2018,2,73,นครปฐม,10.89999962,64.20999908,28.26
2018,2,74,สมุทรสาคร,10.59000015,68.68000031,38.84
2018,2,75,สมุทรสงคราม,9.109999657,18.25,11.51
2018,2,76,เพชรบุรี,11.46000004,76.75,39.56
2018,2,77,ประจวบคีรีขันธ์,44.02000046,81.91000366,67.61
2018,2,80,นครศรีธรรมราช,7.940000057,33.29999924,20.34
2018,2,81,กระบี่,10.80000019,42.99000168,18.86
2018,2,82,พังงา,22.04999924,117.8700027,68.86
2018,2,83,ภูเก็ต,14.22000027,39.38999939,26.04
2018,2,84,สุราษฎร์ธานี,2,80.08999634,18.02
2018,2,85,ระนอง,3.619999886,96.01999664,41.25
2018,2,86,ชุมพร,9.659999847,111.1900024,71.19
2018,2,90,สงขลา,8.300000191,99.76000214,34.31
2018,2,91,สตูล,0.419999987,24.06999969,9.68
2018,2,92,ตรัง,4,21.87999916,11.32
2018,2,93,พัทลุง,10.44999981,51.77999878,24.2
2018,2,94,ปัตตานี,46.86999893,63.20000076,57.42
2018,2,95,ยะลา,36.04000092,58.13999939,48.7
2018,2,96,นราธิวาส,43.79999924,54.20000076,47.18
2018,3,10,กรุงเทพมหานคร,17.54999924,106.3399963,68.97
